CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
3727,72,F,2,Post-Graduate,Married,$80K - $120K,Blue,46,5,4,1,30790.55989554191,2790,25785.814728655958,1.882219771745412,13213,22,3.050218988687171,0.9830693181062521,Attrited Customer
3728,40,F,4,Graduate,Married,$60K - $80K,Blue,38,5,2,3,18560.2304061733,2670,2336.0577235053183,3.8298203525070607,8368,94,0.9851626747930995,0.4500820601596721,Existing Customer
3729,20,M,3,Graduate,Married,$60K - $80K,Blue,14,3,1,2,11510.717894764082,132,27783.95055666302,0.5705673644692144,3029,99,3.9032681827767983,0.9719235382989739,Existing Customer
3730,21,F,0,Graduate,Married,Less than $40K,Blue,48,1,5,3,28599.546707023426,168,7072.42706360527,0.4300416005915859,17094,25,3.6462117894528174,0.04123068471995095,Attrited Customer
3731,42,M,0,Graduate,Married,Less than $40K,Silver,19,4,3,2,32537.54108599526,1688,14630.94641488222,0.7916226745318395,17917,138,0.8489155139432563,0.5770896100340328,Existing Customer
3732,64,M,5,Graduate,Married,Less than $40K,Blue,48,4,3,0,1348.8700949002364,627,28710.272250983584,3.7538984731367155,8245,23,1.3120162205011168,0.8273334633101754,Existing Customer
3733,55,F,3,Graduate,Married,$60K - $80K,Blue,52,6,0,1,31794.473545098357,595,19164.678831595716,1.1246515678213944,5100,107,1.500237905378408,0.2043887275822469,Existing Customer
3734,32,F,4,Post-Graduate,Divorced,$40K - $60K,Blue,26,2,0,0,9033.456034839537,842,7538.388127913545,2.4280702400980965,2484,100,3.134466547827954,0.5164139026750623,Existing Customer
3735,38,F,1,Post-Graduate,Single,$80K - $120K,Blue,39,2,0,4,28021.04669324882,1912,29470.81015360498,1.1543657334245299,9012,67,1.3360674733224909,0.8183281167147678,Existing Customer
3736,52,M,2,Post-Graduate,Single,$60K - $80K,Blue,38,4,6,3,28552.220721798174,395,24435.98755930934,2.878402333453844,7082,105,2.676676326408771,0.4954438166264158,Attrited Customer
3737,70,M,1,High School,Married,$40K - $60K,Blue,32,3,1,4,20100.880614659625,1360,9423.32406541887,2.5246444403475388,9778,40,2.6314452569085645,0.5855135996398317,Existing Customer
3738,70,M,2,Post-Graduate,Married,Less than $40K,Blue,47,6,3,5,15878.38145627456,1935,17975.303276967723,3.8384890131514102,13500,79,2.2634156571324566,0.06288214352155552,Existing Customer
3739,63,M,1,High School,Married,$80K - $120K,Blue,23,1,1,6,8637.690704695942,2029,16685.82529951188,1.3153928104512245,2620,42,2.4823639601646588,0.8696369380595581,Existing Customer
3740,69,M,4,High School,Married,$40K - $60K,Blue,38,1,4,3,9161.859849926372,2981,18499.249592895365,1.2502651761313044,7543,111,0.9087269231535746,0.007667623460743234,Attrited Customer
3741,31,M,4,College,Single,$60K - $80K,Blue,47,6,2,3,17917.192233950216,554,3672.645196866775,3.1166839819933383,5681,30,0.6095972392628894,0.511725934207744,Existing Customer
3742,53,F,3,Post-Graduate,Married,$60K - $80K,Blue,17,2,5,1,5848.014906915134,52,19364.517427059294,0.6327489768088634,4634,56,1.3443321851705687,0.4746254219569821,Attrited Customer
3743,29,M,1,Uneducated,Single,Less than $40K,Blue,28,6,0,4,24007.441252733464,2876,6424.3135424654165,2.91245144038053,9650,34,1.9528054781486173,0.08492831317360072,Attrited Customer
3744,34,F,1,Doctorate,Divorced,Less than $40K,Blue,23,2,4,0,2078.6847969465725,983,9579.230409657,3.088435772459535,5316,29,2.133595981802144,0.22977371305977956,Attrited Customer
3745,56,F,3,College,Married,$40K - $60K,Blue,45,6,4,0,1911.686651679221,837,16361.869423536566,3.433540977206303,6040,42,0.6949410460601775,0.7267159339164934,Attrited Customer
3746,26,F,3,Uneducated,Married,$40K - $60K,Blue,21,5,5,3,18345.77085528193,429,6390.572278991431,2.7593201027302445,18046,131,2.802313529286587,0.8968548456024339,Existing Customer
3747,52,F,4,Uneducated,Divorced,$60K - $80K,Blue,34,3,2,3,10042.05555905043,2440,26766.032108563086,0.6681205755950939,8637,59,0.3883767621677432,0.1680438528147209,Attrited Customer
3748,30,F,4,Post-Graduate,Single,$60K - $80K,Blue,17,1,3,3,17233.370759853427,278,12526.842343281432,1.3438069991409982,12636,115,3.9473837216056897,0.9595556202354517,Existing Customer
3749,32,M,5,Graduate,Single,$120K +,Blue,32,5,3,4,19962.514743748903,2846,4964.277829330531,0.2234459180559294,11155,16,3.1638388175359617,0.17910824477102516,Existing Customer
3750,35,M,1,High School,Single,$80K - $120K,Blue,55,4,6,6,11583.516238610126,485,1824.3524628903263,3.0111345031392798,14873,33,3.6082120496285164,0.6152539088540608,Attrited Customer
3751,68,M,4,Post-Graduate,Married,$40K - $60K,Blue,46,5,4,4,30888.705471525216,231,23443.23383149211,2.7645793833881216,12320,89,1.8530921012782011,0.6514956025507285,Attrited Customer
3752,50,M,4,Graduate,Married,$40K - $60K,Blue,42,6,2,2,17868.938165916952,1314,24849.119895235548,2.0594656871295665,4662,88,3.815434085227542,0.6733912901727108,Existing Customer
3753,23,F,1,High School,Married,$60K - $80K,Blue,22,4,3,6,28956.847721767448,1071,2400.2460717476306,3.914726603591674,9150,130,3.9371651646741066,0.7590631317846305,Existing Customer
3754,44,F,3,Graduate,Married,Less than $40K,Blue,49,4,6,0,31359.243233535057,464,16278.861691804286,1.2792104369888526,8134,102,1.8990021582985235,0.5562475230898033,Attrited Customer
3755,40,F,1,Graduate,Married,$120K +,Gold,44,1,0,3,31235.54063501863,2341,19598.67402384537,3.561778106869407,2587,13,3.3479801916924683,0.027404576452562668,Existing Customer
3756,44,M,0,College,Married,$40K - $60K,Blue,36,5,1,4,3235.268510044177,2356,27248.221795036763,0.7270254331137718,9065,46,2.6829391536404157,0.5297816132084949,Existing Customer
3757,51,M,1,Post-Graduate,Divorced,$80K - $120K,Blue,29,1,2,6,2528.0611195364772,737,1447.935216752274,3.8202560668283243,10004,107,0.810620289791967,0.8330001086632879,Existing Customer
3758,63,M,0,Graduate,Single,$120K +,Blue,56,3,5,2,21129.147328302155,1293,10425.95304948007,1.1552442813749813,17249,95,1.6122248832890298,0.5765251907869664,Existing Customer
3759,55,M,1,College,Married,$60K - $80K,Blue,15,3,6,3,14943.351964342644,1337,3581.906104494894,3.224980759558172,6720,125,2.8665935705984866,0.15682394862424853,Existing Customer
3760,31,F,0,College,Married,Less than $40K,Blue,51,3,4,0,27239.138928982844,2085,12859.164310365477,0.44912579381630824,16764,77,0.627262781973871,0.20559275085997197,Attrited Customer
3761,53,F,0,Graduate,Single,$60K - $80K,Blue,55,3,1,5,33423.65525022533,2702,11164.83911305837,1.6367071643407773,6634,105,1.2885557013602886,0.49600229881111324,Existing Customer
3762,70,M,1,College,Married,$60K - $80K,Blue,55,4,3,4,3291.4017276798772,437,17860.31327590168,3.8636305809115807,3760,41,1.3138828696258384,0.1218676010596994,Existing Customer
3763,25,M,5,Graduate,Single,$60K - $80K,Blue,38,6,3,3,22436.878483525124,1856,20254.048751239985,1.2449842900088024,16731,98,1.663995076050743,0.12878026301863899,Existing Customer
3764,52,F,4,Graduate,Single,Less than $40K,Blue,24,3,5,1,21555.47115558193,1545,28935.77972742732,3.1221654432831194,15647,79,0.001207108068829843,0.5756278651454869,Attrited Customer
3765,36,F,2,Graduate,Single,$40K - $60K,Blue,49,1,2,6,30540.071617393634,1162,4885.722382834751,1.9377644847700566,18482,59,1.208404855452566,0.9528479110838253,Existing Customer
3766,47,F,4,Post-Graduate,Married,$80K - $120K,Blue,54,6,1,1,11666.77925073271,2162,23976.511662966583,2.421290415348445,3831,65,0.8383249760616671,0.24328405603926928,Existing Customer
3767,31,F,0,Graduate,Single,$120K +,Blue,24,5,3,0,18532.90188128894,1955,25381.42532096747,2.394181171632492,7780,34,3.7581091533815756,0.4672865765537547,Existing Customer
3768,37,M,1,Post-Graduate,Married,Less than $40K,Silver,45,5,2,2,32983.787945922886,505,16952.12588049127,2.2809326346186487,13965,31,3.3382550593212224,0.3231928379601027,Existing Customer
3769,66,F,1,Post-Graduate,Married,$80K - $120K,Blue,39,1,1,2,34849.390110462075,805,23633.55647681513,1.9334920170142316,5499,67,2.105323303158661,0.7345181450897067,Existing Customer
3770,42,F,1,High School,Married,Less than $40K,Platinum,26,2,6,6,20295.535224864172,1360,10489.30126943961,0.7624270967920972,17679,25,0.3633525333198042,0.5355841404786845,Attrited Customer
3771,57,F,1,High School,Divorced,$80K - $120K,Blue,19,2,6,5,8068.24538725801,195,1039.36589791377,0.048985497771503184,17448,132,3.78660879397333,0.5972829923245624,Attrited Customer
3772,41,F,5,Graduate,Married,$40K - $60K,Blue,54,2,4,1,27978.029493270034,1642,4520.817209303882,2.709452580193431,18097,58,1.5657165457827529,0.5319281761395077,Attrited Customer
3773,31,M,2,High School,Divorced,$120K +,Blue,56,2,4,6,13754.031058141198,1316,5022.570772280916,2.823894924884997,2641,114,3.077956062449316,0.8120810531269556,Attrited Customer
3774,43,M,3,Uneducated,Married,$60K - $80K,Blue,50,4,6,5,32019.49247603002,1297,26260.80924110575,3.0954225759482457,6858,43,0.9033193523775704,0.18079993879872347,Attrited Customer
3775,55,M,0,Uneducated,Married,$40K - $60K,Blue,54,4,3,0,28046.77936030635,2342,28736.79987959004,3.7234078566480013,4081,37,2.518466016749122,0.8510807910947663,Existing Customer
3776,40,M,2,Uneducated,Single,$40K - $60K,Blue,56,5,6,1,32951.54207453782,2979,12078.551004953226,0.6502399235793854,8589,76,1.7556045382610646,0.1194227426808222,Attrited Customer
3777,39,M,4,Graduate,Married,Less than $40K,Blue,39,5,2,6,8304.75789316266,1063,19689.532807380783,3.5619308524189304,5792,16,2.02824662036931,0.6041843222939552,Existing Customer
3778,65,M,3,Uneducated,Married,$60K - $80K,Blue,22,4,0,3,15125.655474619129,6,9100.49237028889,0.9434593320021363,2557,11,0.808029291042109,0.4955483038711803,Existing Customer
3779,36,F,3,Post-Graduate,Married,$80K - $120K,Blue,54,4,3,4,9489.911917398855,1483,13367.224589183601,2.1686800156274857,14026,82,3.4899270154347337,0.3888445234531466,Existing Customer
3780,63,F,1,College,Married,$60K - $80K,Blue,55,5,0,6,32978.51069404262,146,18620.37356443921,1.0374187751264388,8158,44,2.7527350435052718,0.5286694860275906,Existing Customer
3781,68,F,2,Post-Graduate,Married,$80K - $120K,Blue,53,1,1,2,25975.998932725903,1316,25685.510058605687,0.5555586280094005,6139,120,1.6368614326714748,0.26055249912702483,Existing Customer
3782,20,F,4,Uneducated,Single,$60K - $80K,Blue,21,4,2,4,1836.567088687377,1287,12803.345669466513,0.20568250994129578,16642,106,1.465587670337356,0.4014977113691318,Existing Customer
3783,59,M,1,High School,Single,$120K +,Blue,56,1,5,6,10500.193479385616,1737,20969.944130625245,1.3744653843498615,11675,18,0.22932236625752545,0.035810426569166,Attrited Customer
3784,36,F,1,Post-Graduate,Divorced,$60K - $80K,Blue,46,3,3,0,26077.59444986693,1699,7462.312973716064,3.8853100898428625,13012,109,1.578579955092486,0.9974476281478036,Existing Customer
3785,26,M,5,College,Single,Less than $40K,Blue,53,1,4,5,24159.5047528822,1919,9857.671719438073,1.8902082052100653,13757,56,0.908214136215491,0.0904252472955257,Attrited Customer
3786,45,F,0,Graduate,Single,$60K - $80K,Blue,41,1,6,0,2284.5945993136356,168,6584.567697744112,0.15030131037593186,15157,82,3.3662742552212777,0.8287968086264963,Attrited Customer
3787,37,F,3,Graduate,Single,$40K - $60K,Blue,30,4,1,1,14099.473351763878,1873,25951.371588352853,2.698617945988866,10417,138,1.1867188712294445,0.354374802689267,Existing Customer
3788,62,F,4,High School,Divorced,$120K +,Silver,41,3,5,0,27985.743279938273,448,3554.7088245570712,0.8072060965120076,16368,10,2.32831693066225,0.7356029809399794,Attrited Customer
3789,24,M,3,Post-Graduate,Married,$40K - $60K,Blue,42,2,6,4,12525.951248437794,1589,23099.309654015284,0.23365298514900346,9418,43,2.592201468502918,0.3419546669747263,Attrited Customer
3790,31,F,2,Graduate,Married,$40K - $60K,Blue,25,1,1,2,9162.578302398251,2294,18956.09511185355,3.170314704077244,15516,52,2.4474071355465092,0.9480847274016239,Existing Customer
3791,26,M,0,High School,Single,Less than $40K,Blue,34,3,1,1,25147.751090465757,1237,19500.002549220295,1.7848997952976262,10340,55,2.482370772104731,0.14737178125770267,Existing Customer
3792,72,M,1,Doctorate,Married,$60K - $80K,Blue,28,3,0,0,23204.210450074253,2421,26308.19490626095,3.9087652140460367,10809,137,3.149412556819195,0.3540523647954441,Existing Customer
3793,36,F,0,Uneducated,Divorced,Less than $40K,Blue,44,4,0,3,1859.1603594142061,149,15924.250515856931,2.859041029824715,4404,76,1.7693974283839586,0.9789991575079394,Existing Customer
3794,64,M,1,Graduate,Single,$120K +,Blue,52,3,5,0,31799.928270097284,2478,2275.1272160729186,1.1543365118924958,6567,40,0.6229396051996394,0.16747121534616138,Attrited Customer
3795,69,M,0,Graduate,Married,$40K - $60K,Blue,38,6,1,6,17540.307581607904,2988,27933.79671973653,3.9255379603761766,12605,101,1.979303703157298,0.5498593086527591,Existing Customer
3796,31,F,1,Graduate,Single,$40K - $60K,Blue,43,2,6,2,30153.025825114906,1811,10121.23050271924,3.4832474577491004,15193,49,0.05755913543517943,0.03195244334955294,Attrited Customer
3797,55,F,3,Graduate,Married,Less than $40K,Blue,56,4,3,1,14284.07785390611,541,893.209663547615,1.2642200618018755,7781,134,2.908487020555949,0.884677765945534,Existing Customer
3798,70,F,3,Graduate,Divorced,Less than $40K,Blue,31,6,0,2,13762.570621506029,1970,15994.869618386041,1.162128958588906,18409,26,0.38404205446221606,0.25531601297824946,Existing Customer
3799,53,F,3,Graduate,Divorced,$40K - $60K,Blue,54,1,2,4,5151.578520521249,198,10753.173696532693,2.0097124725354023,17096,33,1.130627197948435,0.4110058400860326,Existing Customer
3800,57,F,3,Post-Graduate,Single,$40K - $60K,Blue,46,4,6,4,28127.671537262468,2551,27352.98278112185,2.167086187792614,17661,109,1.4105633450906807,0.39382090816687065,Existing Customer
3801,34,F,0,Post-Graduate,Married,$40K - $60K,Blue,18,1,4,0,1140.1429085002228,2690,15321.047004950437,2.3145781729966766,9561,102,3.417614848030731,0.23218240871959017,Existing Customer
3802,47,M,1,Graduate,Married,Less than $40K,Blue,47,4,3,3,10846.089685916242,1349,1601.3509429048333,0.8701174111477004,14187,80,3.0768868507161597,0.6968676392476575,Existing Customer
3803,26,F,3,Graduate,Single,$40K - $60K,Blue,23,3,5,3,3469.5567643675827,1103,7141.957102347136,0.218691583804417,11795,32,3.4609712040468645,0.5482481666549637,Attrited Customer
3804,50,F,0,Post-Graduate,Divorced,$60K - $80K,Blue,49,2,5,6,25209.108780002218,2892,6695.244203512204,2.166086263041925,15758,131,3.9748776299034363,0.23764602775513977,Attrited Customer
3805,69,M,1,High School,Married,$40K - $60K,Silver,34,4,6,1,25367.69302622205,2822,22922.014229943605,2.425540854160763,16394,13,2.2701147035165463,0.9047534886973906,Attrited Customer
3806,42,F,0,High School,Married,$40K - $60K,Blue,25,6,2,0,11660.407860563259,28,1975.9519397376391,3.831756480639453,16577,24,0.5804484173004392,0.41411475780040663,Existing Customer
3807,31,M,5,Uneducated,Married,$40K - $60K,Blue,28,5,5,2,24875.01944571573,438,9764.626883231691,2.1747006344660478,6404,57,1.9900338019113262,0.47689032626436845,Attrited Customer
3808,28,F,3,Uneducated,Single,$60K - $80K,Blue,38,3,6,0,9445.331193067099,513,20122.67420601169,0.6252500375498471,8364,34,3.405396701755371,0.46510325609283565,Attrited Customer
3809,70,F,2,Graduate,Divorced,$40K - $60K,Platinum,34,4,5,3,11674.382720862288,2429,18401.30860891469,1.2290907587348268,5142,138,1.1880651857000455,0.06875501958452068,Attrited Customer
3810,52,M,0,Post-Graduate,Married,$60K - $80K,Blue,54,3,0,2,28440.69109071136,215,19428.475104791345,0.20785750361221034,5214,21,2.3051705937306077,0.08254789309636712,Existing Customer
3811,58,F,3,Uneducated,Married,$120K +,Blue,25,5,4,5,26132.864066043345,409,16780.920115157474,0.061564073371100037,3972,12,0.623369655584495,0.8129896776774191,Attrited Customer
3812,31,M,4,College,Single,Less than $40K,Blue,35,6,1,2,27312.990732059545,2988,5271.469296209202,1.9118226652569312,17915,30,0.6181292386134567,0.801960476485255,Existing Customer
3813,47,F,1,High School,Single,Less than $40K,Blue,44,3,6,5,4833.385035015217,309,20229.944237813204,2.6479675411921284,11286,128,2.4097721280168884,0.7426709880157145,Attrited Customer
3814,58,F,5,Post-Graduate,Single,Less than $40K,Blue,35,3,4,3,5510.775200502312,1525,28528.413093623072,3.805609110641796,18304,104,3.7789682900205905,0.8078816156317752,Existing Customer
3815,21,M,3,High School,Single,$40K - $60K,Blue,55,4,1,5,11310.175419702768,2853,1232.8915405189744,2.5341631333733905,11505,52,1.0372326052187906,0.2591092654648355,Existing Customer
3816,21,F,4,Uneducated,Married,Less than $40K,Blue,44,3,5,6,4517.095035440624,8,10855.015988411942,0.7242557746772489,15095,87,2.7321638925432463,0.9400143420977098,Attrited Customer
3817,45,F,0,Uneducated,Married,$40K - $60K,Blue,50,6,2,1,18723.62211368719,1253,8747.564871738045,3.6289350742315216,7084,79,3.1350747690316196,0.046168423031178296,Existing Customer
3818,25,M,0,Graduate,Divorced,$80K - $120K,Blue,40,4,2,6,19052.765975517596,2147,4443.619591896493,3.5197437552077275,1419,88,1.0340221448517584,0.5463177317621488,Existing Customer
3819,19,F,4,Post-Graduate,Divorced,Less than $40K,Blue,45,2,3,0,12817.963323317254,943,7932.42860643422,1.6304447377664149,9700,138,0.9636002603166731,0.5584570365555453,Existing Customer
3820,58,M,5,High School,Single,$40K - $60K,Gold,52,5,2,5,15098.743575842853,1869,763.1035879218995,2.0899526502893147,2527,123,3.2173362855261805,0.4434765795120701,Existing Customer
3821,63,F,4,Graduate,Single,$60K - $80K,Blue,38,6,0,3,4379.156395717855,717,19282.827182827004,1.9974565261366801,17434,24,0.2834393378903468,0.7150175647235492,Attrited Customer
3822,39,M,1,Graduate,Divorced,Less than $40K,Blue,42,6,0,0,24081.112881465502,1943,18373.235220749848,1.7613712689969967,5219,64,1.3021232763694108,0.32113347176584517,Existing Customer
3823,58,F,0,Post-Graduate,Married,Less than $40K,Blue,29,1,4,0,10005.80014511983,2641,15103.16120456302,1.3190786893131938,2617,101,2.0943164377386343,0.3357002879331925,Attrited Customer
3824,72,M,4,High School,Married,$60K - $80K,Blue,54,5,5,1,27425.029153758693,2590,9420.878281361644,3.947318595010825,13288,71,1.0764374212835341,0.08194743781584857,Existing Customer
3825,33,M,2,Post-Graduate,Single,Less than $40K,Blue,41,3,1,2,27213.411621814514,1940,29285.99168750513,3.6328829487737577,6655,87,0.40794086529391294,0.9946078623439287,Existing Customer
3826,46,F,2,Post-Graduate,Divorced,$80K - $120K,Blue,14,6,5,6,21100.9192721372,1244,18576.100165639167,1.3337047078456803,15504,96,3.5900125625133588,0.6408914260486291,Existing Customer
3827,66,F,4,Post-Graduate,Single,Less than $40K,Blue,50,4,4,3,15924.978433255621,2637,26621.22041489829,2.456921981369202,13017,71,1.8087584417810754,0.5336962230073777,Attrited Customer
3828,65,M,1,High School,Single,$40K - $60K,Blue,46,1,3,2,8030.099937437437,1087,9182.419020564741,0.3417194183974832,14294,109,0.6551284261105708,0.07916818414782123,Existing Customer
3829,47,F,0,Uneducated,Married,$60K - $80K,Blue,50,1,5,6,32877.21018473731,2352,22656.54365603886,2.98135622458101,5796,46,3.885021946108758,0.28465483650030654,Attrited Customer
3830,29,M,2,High School,Married,Less than $40K,Blue,24,6,3,4,31469.518804150215,2944,177.32461490863383,3.3748174946066083,14076,110,3.621500198287066,0.5611045303719749,Existing Customer
3831,52,F,4,Post-Graduate,Married,Less than $40K,Blue,33,3,5,6,26573.941123099397,929,20305.355161631483,1.8672755580968943,16817,73,1.0998253220152936,0.7276694245587889,Attrited Customer
3832,28,F,4,Post-Graduate,Divorced,Less than $40K,Silver,39,6,0,5,32220.01547472376,1775,22445.0967363555,0.30379467203538457,3843,95,0.14964923721511436,0.5696747916918722,Existing Customer
3833,63,M,3,Graduate,Married,$80K - $120K,Blue,52,1,3,3,31574.00017468958,830,8097.351412697639,2.329387720387024,5158,20,1.2964180676845425,0.9636681597386408,Existing Customer
3834,67,M,4,Post-Graduate,Married,$60K - $80K,Blue,15,4,5,0,18754.22881862279,2227,29943.569110792214,0.219548806581511,12454,76,0.4104538661319035,0.2595383467569635,Attrited Customer
3835,38,F,1,High School,Divorced,Less than $40K,Blue,49,3,0,3,8131.8042600702975,2214,14947.886052646356,3.263773667463097,5634,72,1.7512128836353602,0.8346015679643887,Existing Customer
3836,38,F,2,Graduate,Married,$60K - $80K,Gold,38,6,1,2,7931.868578925625,1099,11081.547608657598,2.3400917170881885,3865,30,2.260274336730474,0.7155277493199942,Existing Customer
3837,22,F,3,Graduate,Single,$60K - $80K,Blue,17,5,6,4,17903.724153219246,1071,5549.468177990324,3.4835039680380944,12912,16,0.23907122163644656,0.06130504021719185,Attrited Customer
3838,65,F,2,College,Single,$120K +,Blue,32,3,4,1,25649.155786914464,2178,4663.235022868783,1.5157694400032913,8483,84,3.912097924213534,0.351491513460669,Existing Customer
3839,37,F,2,Doctorate,Married,$40K - $60K,Blue,53,3,5,3,14754.183117659657,397,6199.192799662055,1.0006226286131432,3804,57,1.989190643125455,0.9981019836341295,Existing Customer
3840,54,M,1,Post-Graduate,Single,$80K - $120K,Blue,20,1,3,5,14728.809821105859,1049,16084.374854611486,3.754784290962081,18708,88,2.613873219559761,0.1457465193677141,Existing Customer
3841,20,F,4,College,Divorced,$40K - $60K,Blue,55,6,1,6,3477.319267696399,1238,16096.691316518887,3.6031772843618284,790,50,1.059314743218089,0.14309194048266094,Existing Customer
3842,61,F,1,Graduate,Married,$80K - $120K,Blue,40,2,3,1,27478.68252352202,1894,15914.641610227334,0.26410193475929233,9349,54,2.397982806619138,0.5802355242418719,Existing Customer
3843,50,M,4,College,Single,Less than $40K,Blue,41,1,2,4,6836.847972874687,515,25785.502209675647,3.4531455887428657,5756,35,1.9157664985318203,0.7642122987549946,Existing Customer
3844,70,M,3,Graduate,Married,Less than $40K,Blue,53,6,6,5,31550.848450321544,2476,46.40321856070884,3.712086009594056,8035,49,3.423440135357431,0.027399092132457503,Attrited Customer
3845,26,M,1,Post-Graduate,Married,$80K - $120K,Blue,14,6,3,2,6924.031825754981,793,8007.878774809651,1.8127883228721298,11676,55,0.8654470004767396,0.26096474867779373,Existing Customer
3846,26,F,1,Post-Graduate,Married,$80K - $120K,Blue,14,2,1,4,26236.903940953413,1252,26569.517141449334,3.5708308775683735,16709,99,0.012514059747721795,0.4606474357150897,Existing Customer
3847,21,M,5,High School,Divorced,$40K - $60K,Blue,50,3,3,6,26351.9175481728,874,2998.0066661976466,1.7891295314003801,11885,54,0.7195314674464113,0.6826186653652349,Existing Customer
3848,52,M,0,Graduate,Single,$60K - $80K,Blue,50,3,2,3,30297.15881491774,2740,5842.335903745518,0.22888606649718168,12209,139,0.9018292133440866,0.32202099112319615,Existing Customer
3849,34,M,1,High School,Married,$40K - $60K,Blue,55,6,6,0,18723.566717523674,2800,9802.134985601971,2.185508011661512,11104,46,1.7572509746012401,0.5268879929962375,Attrited Customer
3850,51,M,5,College,Single,Less than $40K,Blue,35,5,6,2,14689.93269399865,2495,24379.41861506798,3.7440884653922657,16633,76,1.5064758503987141,0.4105456555679595,Attrited Customer
3851,41,F,0,High School,Married,Less than $40K,Blue,22,1,3,5,4300.69181776774,2143,17515.509143878426,2.1364144770713214,3728,28,1.0988948991643808,0.5219436658678017,Attrited Customer
3852,49,F,4,Graduate,Married,Less than $40K,Blue,40,5,6,5,29382.36260837193,572,16670.003004676717,0.5561381392316331,8493,41,1.1604364216601715,0.6778666894075089,Attrited Customer
3853,18,F,4,Post-Graduate,Married,$60K - $80K,Blue,31,4,1,6,15180.596159168645,141,27750.842200476705,1.7584391356535658,1076,134,0.8205923705579949,0.6947611219313821,Existing Customer
3854,25,M,4,Graduate,Single,$40K - $60K,Blue,40,3,6,3,34630.241852297964,732,14619.908861938431,0.4249593964417602,611,11,0.3065904927014582,0.19578127090263597,Attrited Customer
3855,62,M,5,Graduate,Single,Less than $40K,Blue,43,6,6,6,11161.441775298823,180,28410.305867948962,2.341144384315566,4004,132,3.1001106515224577,0.37657232486097236,Attrited Customer
3856,40,M,5,Uneducated,Divorced,$80K - $120K,Blue,14,6,0,2,15894.505568891085,1978,4024.08911232797,2.4987577815375976,8864,127,0.13954453944667655,0.2788099497810067,Existing Customer
3857,64,M,0,High School,Married,Less than $40K,Blue,41,5,6,6,15159.722336454663,964,11992.973793800022,2.6565081958656145,1974,20,2.5049171225433575,0.3540839134646837,Attrited Customer
3858,57,M,4,Post-Graduate,Married,$60K - $80K,Blue,26,4,1,2,17241.46700723245,1181,24668.758678880375,0.21156337763042155,13716,99,3.4476838419635634,0.35345161002380954,Existing Customer
3859,29,M,2,Graduate,Single,$80K - $120K,Blue,40,2,0,3,8568.643829746103,1045,4509.822001043938,3.392617973219983,17295,39,1.5009301760676577,0.04132161934446277,Existing Customer
3860,71,F,1,Graduate,Married,Less than $40K,Blue,13,1,6,5,10307.503781513566,1488,5267.08459141264,3.6670355987390244,17816,125,2.418301699013971,0.828902695131952,Attrited Customer
3861,29,F,5,Uneducated,Divorced,Less than $40K,Blue,56,4,0,6,16657.57472588303,2141,11452.178236579164,1.1470990514839423,991,67,2.504214442006033,0.4167801364562199,Existing Customer
3862,63,M,5,Graduate,Married,$60K - $80K,Blue,28,1,4,0,27213.932836149637,2693,27859.962477418336,3.1323195271751394,6467,59,0.48243386080763306,0.900092223255196,Attrited Customer
3863,64,F,5,College,Married,$40K - $60K,Blue,49,3,5,0,26313.874668798995,1796,5458.359669376917,1.933492018074288,8970,33,0.8878069196839027,0.6561078230303056,Attrited Customer
3864,32,M,0,Doctorate,Married,$40K - $60K,Blue,33,6,1,5,7272.78922921708,552,28668.733214259726,2.124552370155772,8635,72,0.8351745357121549,0.9204124970255689,Attrited Customer
3865,58,M,4,Graduate,Married,$60K - $80K,Blue,26,2,6,3,19069.104183239262,1109,20159.511428842558,0.9712594257903775,10118,28,0.44572034508961256,0.9272000567851953,Attrited Customer
3866,36,F,2,Graduate,Married,$80K - $120K,Blue,55,3,4,2,18758.26984617886,302,14137.213909366948,3.5789501305145253,13588,104,2.652154799051415,0.032485916757013955,Attrited Customer
3867,43,M,1,Graduate,Married,Less than $40K,Blue,29,4,0,5,20407.423976706385,1302,529.7459900736224,3.8334134875528307,3519,31,1.843991102156672,0.44949364486831767,Attrited Customer
3868,69,F,1,Graduate,Married,$60K - $80K,Blue,27,2,3,5,11697.720941863185,2545,15741.520021915294,2.618553683698512,4674,99,1.493725576551114,0.23333460708806952,Existing Customer
3869,46,M,4,Graduate,Married,Less than $40K,Gold,43,4,0,2,25418.287553463582,1253,12470.116433931042,0.6067649798306052,5806,43,3.4600100295650935,0.331226396472755,Attrited Customer
3870,39,M,2,Post-Graduate,Married,$40K - $60K,Blue,48,1,1,3,10533.07524844367,180,23724.42205192343,2.13801255599839,7098,128,3.7914369300417974,0.1636308723576737,Existing Customer
3871,57,F,0,Graduate,Married,Less than $40K,Blue,26,3,1,3,12182.114681390487,2727,16776.973580779173,1.2098464646113847,4585,15,1.9610715279519724,0.03081556475874403,Attrited Customer
